epoch,rmse
1,0.8972402130979195
2,0.882173452332363
3,0.869160514519614
4,0.8384449892509347
5,0.7697272244113496
6,0.8546519759527852
7,0.740715869952845
8,0.7352074537162963
9,0.7795062539838921
10,0.7156535474655317
11,0.6691561850569716
12,0.7232288711051296
13,0.7377872322018049
14,0.7002499553730795
15,0.7305272068855478
16,0.6974453383599319
17,0.6610824456903995
18,0.687800843267875
19,0.7031287222123699
20,0.708244308131029
21,0.7593023113358737
22,0.713792686989717
23,0.6641686532801739
24,0.6525488487462069
25,0.6516977827183394
26,0.653918955223046
27,0.6769490379637155
28,0.6612866246946176
29,0.6492226120522914
30,0.6349251924439603
31,0.6704028639556964
32,0.6752184831593401
33,0.7098380096895348
34,0.6845655556628598
35,0.6649210479447917
36,0.6545380050081125
37,0.70724111871412
38,0.6492072088324343
